%Phase	step	ps/step	*	*
				
%Set_97	OMM90	1	*	*
Prod	760	0.04	1	*
				
%Set_98	OMM91	1	*	*
Prod	439	0.04	1	*
				
%Set_99	OMM92	1	*	*
Prod	1091	0.04	1	*
				
%Set_100	OMM93	1	*	*
Prod	641	0.04	1	*
				
%Set_101	OMM94	1	*	*
Prod	770	0.04	1	*
				
%Set_102	OMM95	1	*	*
Prod	657	0.04	1	*
				
%Set_103	OMM96	1	*	*
Prod	319	0.04	1	*
				
%Set_104	OMM97	1	*	*
Prod	318	0.04	1	*
				
%Set_105	OMM98	1	*	*
Prod	539	0.04	1	*
				
%Set_106	OMM99	1	*	*
Prod	453	0.04	1	*
				
%Set_107	OMM100	1	*	*
Prod	1627	0.04	1	*
				
%Set_108	OMM101	1	*	*
Prod	308	0.04	1	*
				
%Set_109	OMM102	1	*	*
Prod	342	0.04	1	*
				
%Set_110	OMM103	1	*	*
Prod	308	0.04	1	*
				
%Set_111	OMM104	1	*	*
Prod	533	0.04	1	*
				
%Set_112	OMM105	1	*	*
Prod	355	0.04	1	*
